country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB","06-01-2025 23:00:00",23.555190,74.440010,OZONE,9,151,96
India,TamilNadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB","06-01-2025 23:00:00",10.681158,78.741746,CO,10,10,10
India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB","06-01-2025 23:00:00",11.258242,77.552761,OZONE,1,8,3
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB","06-01-2025 23:00:00",13.1036,80.2909,OZONE,18,25,20
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB","06-01-2025 23:00:00",11.0328,77.0349,OZONE,4,7,6
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB","06-01-2025 23:00:00",10.967820,78.080882,OZONE,9,9,9
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB","06-01-2025 23:00:00",9.865935,78.022669,OZONE,6,6,6
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB","06-01-2025 23:00:00",11.4068288,76.7138973,OZONE,5,6,5
India,TamilNadu,Vellore,"Vasanthapuram, Vellore - TNPCB","06-01-2025 23:00:00",12.909494,79.131861,OZONE,NA,NA,NA
India,TamilNadu,Cuddalore,"Kudikadu, Cuddalore - TNPCB","06-01-2025 23:00:00",11.6829898,79.7532099,OZONE,4,4,4
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB","06-01-2025 23:00:00",28.757294,77.278792,OZONE,1,24,12
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","06-01-2025 23:00:00",28.685382,77.453839,OZONE,1,48,18
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","06-01-2025 23:00:00",24.885261,72.857549,OZONE,31,94,72
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","06-01-2025 23:00:00",27.168897,78.376960,OZONE,14,21,17
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","06-01-2025 23:00:00",26.159933,75.780517,OZONE,7,51,24
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","06-01-2025 23:00:00",28.557054,77.453663,OZONE,2,46,18
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","06-01-2025 23:00:00",26.766433,80.927299,OZONE,10,54,28
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","06-01-2025 23:00:00",26.868120,81.005119,OZONE,20,30,26
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB","06-01-2025 23:00:00",26.906111,80.948222,OZONE,6,46,29
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","06-01-2025 23:00:00",26.90723,80.98579,OZONE,12,53,27
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","06-01-2025 23:00:00",26.83399722,80.8917361,OZONE,2,81,35
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB","06-01-2025 23:00:00",28.5898,77.3101,OZONE,7,25,15
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB","06-01-2025 23:00:00",30.075911,78.2859547,OZONE,5,33,15
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","06-01-2025 23:00:00",23.616515,87.119133,OZONE,3,92,37
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","06-01-2025 23:00:00",22.6025571,88.3105664,OZONE,3,109,37
India,Assam,Silchar,"Tarapur, Silchar - PCBA","06-01-2025 23:00:00",24.82827,92.79525,CO,16,26,24
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","06-01-2025 23:00:00",26.987634,94.636574,OZONE,3,9,3
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","06-01-2025 23:00:00",25.366336,87.117468,OZONE,27,28,28
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB (Formerly known as DRCC Anandpur)","06-01-2025 23:00:00",25.42742023,86.13886079,OZONE,1,9,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","06-01-2025 23:00:00",17.72,83.3,OZONE,4,12,8
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","06-01-2025 23:00:00",14.465052,78.824187,OZONE,49,49,49
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","06-01-2025 23:00:00",25.560083,87.553265,OZONE,11,24,20
India,Assam,Guwahati,"IITG, Guwahati - PCBA","06-01-2025 23:00:00",26.2028636,91.70046436,OZONE,10,58,19
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","06-01-2025 23:00:00",26.1403345,85.3650192,OZONE,6,21,20
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","06-01-2025 23:00:00",16.486692,80.699436,OZONE,8,19,18
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","06-01-2025 23:00:00",26.446912,91.439057,OZONE,11,41,21
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","06-01-2025 23:00:00",22.368195,82.746431,OZONE,4,8,5
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","06-01-2025 23:00:00",28.498571,77.264840,OZONE,6,50,28
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","06-01-2025 23:00:00",28.5710274,77.0719006,OZONE,2,27,18
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","06-01-2025 23:00:00",28.5627763,77.1180053,OZONE,11,32,25
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","06-01-2025 23:00:00",25.03280,85.41948,OZONE,31,44,34
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","06-01-2025 23:00:00",25.859655,85.77944,SO2,NA,NA,NA
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","06-01-2025 23:00:00",28.4706914,77.1099364,OZONE,27,131,59
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","06-01-2025 23:00:00",21.185571,81.343175,OZONE,8,61,27
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","06-01-2025 23:00:00",26.2271665,84.3570427,OZONE,3,35,15
India,Delhi,Delhi,"Narela, Delhi - DPCC","06-01-2025 23:00:00",28.822836,77.101981,OZONE,2,7,3
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","06-01-2025 23:00:00",22.08815,82.13737,CO,25,56,47
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","06-01-2025 23:00:00",28.656756,77.227234,OZONE,7,47,23
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","06-01-2025 23:00:00",12.920984,77.584908,OZONE,34,37,36
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","06-01-2025 23:00:00",12.7816279,77.6299145,OZONE,22,26,23
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","06-01-2025 23:00:00",28.531346,77.190156,OZONE,4,53,36
India,Gujarat,Surat,"Science Center, Surat - SMC","06-01-2025 23:00:00",21.170046,72.795405,CO,44,54,49
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","06-01-2025 23:00:00",22.969611,72.643500,OZONE,6,39,24
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","06-01-2025 23:00:00",22.977134,72.553024,OZONE,5,71,40
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","06-01-2025 23:00:00",28.376058,77.315741,OZONE,19,21,20
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","06-01-2025 23:00:00",28.4275,77.1465,OZONE,10,65,64
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","06-01-2025 23:00:00",28.060249,76.113115,OZONE,NA,NA,NA
India,Delhi,Delhi,"Rohini, Delhi - DPCC","06-01-2025 23:00:00",28.732528,77.119920,OZONE,3,42,31
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","06-01-2025 23:00:00",12.9756843,77.5660749,CO,22,138,49
